,movie,rating
246,An American Tail,G
247,Down by Law,R
248,The Great Mouse Detective,G
249,Flight of the Navigator,PG
250,Hoosiers,PG
251,Howard the Duck,PG
252,The Hitcher,R
253,Police Academy 3: Back in Training,PG
254,Heartbreak Ridge,R
255,9½ Weeks,R
256,Jason Lives: Friday the 13th Part VI,R
257,Peggy Sue Got Married,PG-13
258,Henry: Portrait of a Serial Killer,Unrated
259,Critters,PG-13
260,Maximum Overdrive,R
261,Raw Deal,R
262,Sid and Nancy,R
263,Back to School,PG-13
264,The Mosquito Coast,PG
265,Full Metal Jacket,R
266,The Princess Bride,PG
267,Predator,R
268,The Untouchables,R
269,Lethal Weapon,R
270,RoboCop,R
271,Dirty Dancing,PG-13
272,Spaceballs,PG
273,Wall Street,R
274,Evil Dead II,R
275,The Running Man,R
276,"Good Morning, Vietnam",R
277,Raising Arizona,PG-13
278,The Lost Boys,R
279,"Planes, Trains & Automobiles",R
280,Empire of the Sun,PG
281,Beverly Hills Cop II,R
282,Hellraiser,R
283,The Last Emperor,PG-13
284,The Living Daylights,PG
285,Angel Heart,R
286,Fatal Attraction,R
287,A Nightmare on Elm Street 3: Dream Warriors,R
288,Wings of Desire,PG-13
289,The Witches of Eastwick,R
290,Innerspace,PG
291,Overboard,PG
292,Over the Top,PG
293,3 Men and a Baby,PG
294,Moonstruck,PG
295,Superman IV: The Quest for Peace,PG
296,Roxanne,PG
297,Police Academy 4: Citizens on Patrol,PG
298,Jaws: The Revenge,PG-13
299,Adventures in Babysitting,PG-13
300,Masters of the Universe,PG
301,No Way Out,R
302,Prince of Darkness,R
303,Throw Momma from the Train,PG-13
304,Dragnet,PG-13
305,Can't Buy Me Love,PG-13
306,Harry and the Hendersons,PG
307,Die Hard,R
308,Rain Man,R
309,My Neighbor Totoro,G
310,Beetlejuice,PG
311,Cinema Paradiso,R
312,Big,PG
313,Who Framed Roger Rabbit,PG
314,Coming to America,R
315,The Naked Gun: From the Files of Police Squad!,PG-13
316,A Fish Called Wanda,R
317,Rambo III,R
318,Twins,PG
319,They Live,R
320,Willow,PG
321,Mississippi Burning,R
322,Heathers,R
323,Scrooged,PG-13
324,Child's Play,R
325,Cocktail,R
326,The Land Before Time,G
327,Bloodsport,R
328,Midnight Run,R
329,Dangerous Liaisons,R
330,Dirty Rotten Scoundrels,PG
331,Red Heat,R
332,Crocodile Dundee II,PG
333,Young Guns,R
334,Working Girl,R
335,The Adventures of Baron Munchausen,PG
336,The Last Temptation of Christ,R
337,Frantic,R
338,The Big Blue,R
339,A Nightmare on Elm Street 4: The Dream Master,R
340,Bull Durham,R
341,Hellbound: Hellraiser II,R
342,Halloween 4: The Return of Michael Myers,R
343,The Dead Pool,R
344,Dead Ringers,R
345,The Great Outdoors,PG
346,The Unbearable Lightness of Being,R
347,Women on the Verge of a Nervous Breakdown,R
348,Police Academy 5: Assignment: Miami Beach,PG
349,The Accused,R
350,Indiana Jones and the Last Crusade,PG-13
351,Back to the Future Part II,PG
352,Dead Poets Society,PG
353,Batman,PG-13
354,The Little Mermaid,G
355,When Harry Met Sally...,R
356,Ghostbusters II,PG
357,The Abyss,PG-13
358,Lethal Weapon 2,R
